Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,unicast,l1,all_from_all,riscv_1,0,2x2,2x2,4,256,692.0,0.3699421965317919
128,1,blackhole,unicast,l1,all_from_all,riscv_1,1024,2x2,2x2,4,512,620.0,0.8258064516129032
256,1,blackhole,unicast,l1,all_from_all,riscv_1,2048,2x2,2x2,4,1024,623.0,1.6436597110754414
512,1,blackhole,unicast,l1,all_from_all,riscv_1,3072,2x2,2x2,4,2048,629.0,3.2559618441971385
1024,1,blackhole,unicast,l1,all_from_all,riscv_1,4096,2x2,2x2,4,4096,641.0,6.390015600624025
2048,1,blackhole,unicast,l1,all_from_all,riscv_1,5120,2x2,2x2,4,8192,617.0,13.277147487844408
4096,1,blackhole,unicast,l1,all_from_all,riscv_1,6144,2x2,2x2,4,16384,700.0,23.405714285714286
8192,1,blackhole,unicast,l1,all_from_all,riscv_1,7168,2x2,2x2,4,32768,1133.0,28.92144748455428
16384,1,blackhole,unicast,l1,all_from_all,riscv_1,8192,2x2,2x2,4,65536,2195.0,29.856947608200457
32768,1,blackhole,unicast,l1,all_from_all,riscv_1,9216,2x2,2x2,4,131072,3926.0,33.38563423331635
65536,1,blackhole,unicast,l1,all_from_all,riscv_1,10240,2x2,2x2,4,262144,8268.0,31.70585389453314
64,16,blackhole,unicast,l1,all_from_all,riscv_1,11264,2x2,2x2,4,4096,2651.0,1.5450773293096944
128,16,blackhole,unicast,l1,all_from_all,riscv_1,12288,2x2,2x2,4,8192,2645.0,3.0971644612476372
256,16,blackhole,unicast,l1,all_from_all,riscv_1,13312,2x2,2x2,4,16384,2634.0,6.220197418375095
512,16,blackhole,unicast,l1,all_from_all,riscv_1,14336,2x2,2x2,4,32768,2685.0,12.204096834264432
1024,16,blackhole,unicast,l1,all_from_all,riscv_1,15360,2x2,2x2,4,65536,3297.0,19.877464361540795
2048,16,blackhole,unicast,l1,all_from_all,riscv_1,16384,2x2,2x2,4,131072,4954.0,26.457811869196608
4096,16,blackhole,unicast,l1,all_from_all,riscv_1,17408,2x2,2x2,4,262144,9259.0,28.31234474565288
8192,16,blackhole,unicast,l1,all_from_all,riscv_1,18432,2x2,2x2,4,524288,18982.0,27.62027183647666
16384,16,blackhole,unicast,l1,all_from_all,riscv_1,19456,2x2,2x2,4,1048576,37253.0,28.147424368507235
32768,16,blackhole,unicast,l1,all_from_all,riscv_1,20480,2x2,2x2,4,2097152,85522.0,24.521783868478288
65536,16,blackhole,unicast,l1,all_from_all,riscv_1,21504,2x2,2x2,4,4194304,161417.0,25.984276749041303
64,256,blackhole,unicast,l1,all_from_all,riscv_1,22528,2x2,2x2,4,65536,39168.0,1.673202614379085
128,256,blackhole,unicast,l1,all_from_all,riscv_1,23552,2x2,2x2,4,131072,39147.0,3.3482003729532277
256,256,blackhole,unicast,l1,all_from_all,riscv_1,24576,2x2,2x2,4,262144,39162.0,6.693835861294112
512,256,blackhole,unicast,l1,all_from_all,riscv_1,25600,2x2,2x2,4,524288,39661.0,13.219232999672222
1024,256,blackhole,unicast,l1,all_from_all,riscv_1,26624,2x2,2x2,4,1048576,54329.0,19.300484087687977
2048,256,blackhole,unicast,l1,all_from_all,riscv_1,27648,2x2,2x2,4,2097152,92686.0,22.626416071467105
4096,256,blackhole,unicast,l1,all_from_all,riscv_1,28672,2x2,2x2,4,4194304,182865.0,22.93661444234818
8192,256,blackhole,unicast,l1,all_from_all,riscv_1,29696,2x2,2x2,4,8388608,363486.0,23.0782148418371
16384,256,blackhole,unicast,l1,all_from_all,riscv_1,30720,2x2,2x2,4,16777216,742393.0,22.598833771331357
32768,256,blackhole,unicast,l1,all_from_all,riscv_1,31744,2x2,2x2,4,33554432,1510376.0,22.21594622795913
65536,256,blackhole,unicast,l1,all_from_all,riscv_1,32768,2x2,2x2,4,67108864,3060678.0,21.9261431617439
64,1,blackhole,unicast,l1,all_from_all,riscv_1,33792,4x4,4x4,16,1024,1226.0,0.835236541598695
128,1,blackhole,unicast,l1,all_from_all,riscv_1,34816,4x4,4x4,16,2048,1263.0,1.6215360253365003
256,1,blackhole,unicast,l1,all_from_all,riscv_1,35840,4x4,4x4,16,4096,1223.0,3.349141455437449
512,1,blackhole,unicast,l1,all_from_all,riscv_1,36864,4x4,4x4,16,8192,1258.0,6.511923688394277
1024,1,blackhole,unicast,l1,all_from_all,riscv_1,37888,4x4,4x4,16,16384,1479.0,11.077755240027045
2048,1,blackhole,unicast,l1,all_from_all,riscv_1,38912,4x4,4x4,16,32768,2464.0,13.2987012987013
4096,1,blackhole,unicast,l1,all_from_all,riscv_1,39936,4x4,4x4,16,65536,4255.0,15.402115158636898
8192,1,blackhole,unicast,l1,all_from_all,riscv_1,40960,4x4,4x4,16,131072,7369.0,17.786945311439815
16384,1,blackhole,unicast,l1,all_from_all,riscv_1,41984,4x4,4x4,16,262144,14546.0,18.02172418534305
32768,1,blackhole,unicast,l1,all_from_all,riscv_1,43008,4x4,4x4,16,524288,34731.0,15.095678212547869
65536,1,blackhole,unicast,l1,all_from_all,riscv_1,44032,4x4,4x4,16,1048576,84607.0,12.393489900362853
64,16,blackhole,unicast,l1,all_from_all,riscv_1,45056,4x4,4x4,16,16384,11551.0,1.4184053328716129
128,16,blackhole,unicast,l1,all_from_all,riscv_1,46080,4x4,4x4,16,32768,11476.0,2.8553502962704775
256,16,blackhole,unicast,l1,all_from_all,riscv_1,47104,4x4,4x4,16,65536,11544.0,5.677061677061677
512,16,blackhole,unicast,l1,all_from_all,riscv_1,48128,4x4,4x4,16,131072,13787.0,9.506926815115689
1024,16,blackhole,unicast,l1,all_from_all,riscv_1,49152,4x4,4x4,16,262144,21757.0,12.048719952199292
2048,16,blackhole,unicast,l1,all_from_all,riscv_1,50176,4x4,4x4,16,524288,44714.0,11.725365657288545
