Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,unicast,l1,all_from_all,riscv_1,1024,5227.5,1.346724363489987
128,110,blackhole,unicast,l1,all_from_all,riscv_1,2048,5693.5,2.4730094250451016
256,110,blackhole,unicast,l1,all_from_all,riscv_1,3072,18132.0,1.553065806759351
512,110,blackhole,unicast,l1,all_from_all,riscv_1,4096,33011.0,1.7060979814348065
1024,110,blackhole,unicast,l1,all_from_all,riscv_1,5120,65056.5,1.731418341069685
2048,110,blackhole,unicast,l1,all_from_all,riscv_1,6144,135567.5,1.6617566610881545
4096,110,blackhole,unicast,l1,all_from_all,riscv_1,7168,309605.0,1.4552736946295886
8192,110,blackhole,unicast,l1,all_from_all,riscv_1,8192,620181.0,1.452995491694016
16384,110,blackhole,unicast,l1,all_from_all,riscv_1,9216,1340931.5,1.3440253297703584
32768,110,blackhole,unicast,l1,all_from_all,riscv_1,10240,3132337.0,1.1507334904613469
65536,110,blackhole,unicast,l1,all_from_all,riscv_1,11264,5788949.0,1.2456572250386175
64,440,blackhole,unicast,l1,all_from_all,riscv_1,12288,32246.5,0.8732731290718353
128,440,blackhole,unicast,l1,all_from_all,riscv_1,13312,52630.5,1.0701080218024432
256,440,blackhole,unicast,l1,all_from_all,riscv_1,14336,99533.5,1.1316796357200272
512,440,blackhole,unicast,l1,all_from_all,riscv_1,15360,200381.5,1.1242644683906513
1024,440,blackhole,unicast,l1,all_from_all,riscv_1,16384,376938.0,1.195335840996679
2048,440,blackhole,unicast,l1,all_from_all,riscv_1,17408,630783.5,1.4285781485391047
4096,440,blackhole,unicast,l1,all_from_all,riscv_1,18432,1256585.0,1.4343245033656393
8192,440,blackhole,unicast,l1,all_from_all,riscv_1,19456,2799972.5,1.2873839625047667
16384,440,blackhole,unicast,l1,all_from_all,riscv_1,20480,5751390.0,1.253556958169274
32768,440,blackhole,unicast,l1,all_from_all,riscv_1,21504,12425197.0,1.1603808556966073
65536,440,blackhole,unicast,l1,all_from_all,riscv_1,22528,20352674.5,1.4168087981404063
64,1760,blackhole,unicast,l1,all_from_all,riscv_1,23552,90185.5,1.2489828484213212
128,1760,blackhole,unicast,l1,all_from_all,riscv_1,24576,190997.5,1.1794922729542603
256,1760,blackhole,unicast,l1,all_from_all,riscv_1,25600,320970.0,1.4039052217622108
512,1760,blackhole,unicast,l1,all_from_all,riscv_1,26624,609824.0,1.4778987184099157
1024,1760,blackhole,unicast,l1,all_from_all,riscv_1,27648,1116716.0,1.6139288274485422
2048,1760,blackhole,unicast,l1,all_from_all,riscv_1,28672,2216082.0,1.6265578483631695
4096,1760,blackhole,unicast,l1,all_from_all,riscv_1,29696,4780193.0,1.5080897623206582
8192,1760,blackhole,unicast,l1,all_from_all,riscv_1,30720,11063583.5,1.3032157886662332
16384,1760,blackhole,unicast,l1,all_from_all,riscv_1,31744,21823658.5,1.321542301300481
32768,1760,blackhole,unicast,l1,all_from_all,riscv_1,32768,38885587.0,1.4844178190078867
65536,1760,blackhole,unicast,l1,all_from_all,riscv_1,33792,61889308.0,1.8637061066687408
64,7040,blackhole,unicast,l1,all_from_all,riscv_1,34816,311681.0,1.4456148682099292
128,7040,blackhole,unicast,l1,all_from_all,riscv_1,35840,583679.5,1.5438816186689082
256,7040,blackhole,unicast,l1,all_from_all,riscv_1,36864,939292.5,1.9187790836480145
512,7040,blackhole,unicast,l1,all_from_all,riscv_1,37888,1843051.0,1.955877325783169
1024,7040,blackhole,unicast,l1,all_from_all,riscv_1,38912,3484191.5,2.069070087856838
2048,7040,blackhole,unicast,l1,all_from_all,riscv_1,39936,7411040.0,1.9454668190814686
4096,7040,blackhole,unicast,l1,all_from_all,riscv_1,40960,16647034.5,1.732246544584568
8192,7040,blackhole,unicast,l1,all_from_all,riscv_1,41984,32793673.0,1.7587950999431423
16384,7040,blackhole,unicast,l1,all_from_all,riscv_1,43008,59981290.0,1.9230062394289251
32768,7040,blackhole,unicast,l1,all_from_all,riscv_1,44032,111018170.0,2.0779485680088037
65536,7040,blackhole,unicast,l1,all_from_all,riscv_1,45056,198815717.0,2.3206231157571775
64,28160,blackhole,unicast,l1,all_from_all,riscv_1,46080,1232466.5,1.4623039224720116
128,28160,blackhole,unicast,l1,all_from_all,riscv_1,47104,1719127.0,2.096743250280184
256,28160,blackhole,unicast,l1,all_from_all,riscv_1,48128,3228730.5,2.2327778769412854
512,28160,blackhole,unicast,l1,all_from_all,riscv_1,49152,6252397.5,2.306006755544262
1024,28160,blackhole,unicast,l1,all_from_all,riscv_1,50176,11595716.5,2.486862357311028
2048,28160,blackhole,unicast,l1,all_from_all,riscv_1,51200,25150687.0,2.2931361886385373
4096,28160,blackhole,unicast,l1,all_from_all,riscv_1,52224,51155313.5,2.254769480658333
8192,28160,blackhole,unicast,l1,all_from_all,riscv_1,53248,91737455.5,2.5146418578783147
16384,28160,blackhole,unicast,l1,all_from_all,riscv_1,54272,181591846.5,2.540716995854472
32768,28160,blackhole,unicast,l1,all_from_all,riscv_1,55296,353510919.5,2.6102432901499437
65536,28160,blackhole,unicast,l1,all_from_all,riscv_1,56320,652311716.0,2.829189080404687
