Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,4,blackhole,unicast,l1,all_to_all,riscv_0,0,2x2,2x2,4,1024,745.0,1.374496644295302
128,4,blackhole,unicast,l1,all_to_all,riscv_0,1024,2x2,2x2,4,2048,630.0,3.250793650793651
256,4,blackhole,unicast,l1,all_to_all,riscv_0,2048,2x2,2x2,4,4096,623.0,6.574638844301766
512,4,blackhole,unicast,l1,all_to_all,riscv_0,3072,2x2,2x2,4,8192,635.0,12.900787401574803
1024,4,blackhole,unicast,l1,all_to_all,riscv_0,4096,2x2,2x2,4,16384,655.0,25.013740458015267
2048,4,blackhole,unicast,l1,all_to_all,riscv_0,5120,2x2,2x2,4,32768,738.0,44.40108401084011
4096,4,blackhole,unicast,l1,all_to_all,riscv_0,6144,2x2,2x2,4,65536,896.0,73.14285714285714
8192,4,blackhole,unicast,l1,all_to_all,riscv_0,7168,2x2,2x2,4,131072,1467.0,89.34696659850034
16384,4,blackhole,unicast,l1,all_to_all,riscv_0,8192,2x2,2x2,4,262144,2358.0,111.17217981340119
32768,4,blackhole,unicast,l1,all_to_all,riscv_0,9216,2x2,2x2,4,524288,5940.0,88.26397306397307
65536,4,blackhole,unicast,l1,all_to_all,riscv_0,10240,2x2,2x2,4,1048576,12085.0,86.76673562267274
64,64,blackhole,unicast,l1,all_to_all,riscv_0,11264,2x2,2x2,4,16384,2891.0,5.6672431684538225
128,64,blackhole,unicast,l1,all_to_all,riscv_0,12288,2x2,2x2,4,32768,2892.0,11.330567081604427
256,64,blackhole,unicast,l1,all_to_all,riscv_0,13312,2x2,2x2,4,65536,2883.0,22.731876517516476
512,64,blackhole,unicast,l1,all_to_all,riscv_0,14336,2x2,2x2,4,131072,2911.0,45.02645139127448
1024,64,blackhole,unicast,l1,all_to_all,riscv_0,15360,2x2,2x2,4,262144,3524.0,74.38819523269012
2048,64,blackhole,unicast,l1,all_to_all,riscv_0,16384,2x2,2x2,4,524288,5103.0,102.7411326670586
4096,64,blackhole,unicast,l1,all_to_all,riscv_0,17408,2x2,2x2,4,1048576,10716.0,97.85143710339679
8192,64,blackhole,unicast,l1,all_to_all,riscv_0,18432,2x2,2x2,4,2097152,24215.0,86.60549246334917
16384,64,blackhole,unicast,l1,all_to_all,riscv_0,19456,2x2,2x2,4,4194304,48318.0,86.80624198021441
32768,64,blackhole,unicast,l1,all_to_all,riscv_0,20480,2x2,2x2,4,8388608,97286.0,86.22626071582756
65536,64,blackhole,unicast,l1,all_to_all,riscv_0,21504,2x2,2x2,4,16777216,189777.0,88.4048962729941
64,1024,blackhole,unicast,l1,all_to_all,riscv_0,22528,2x2,2x2,4,262144,38409.0,6.825067041578797
128,1024,blackhole,unicast,l1,all_to_all,riscv_0,23552,2x2,2x2,4,524288,38414.0,13.648357369708961
256,1024,blackhole,unicast,l1,all_to_all,riscv_0,24576,2x2,2x2,4,1048576,38445.0,27.274704122772793
512,1024,blackhole,unicast,l1,all_to_all,riscv_0,25600,2x2,2x2,4,2097152,39473.0,53.1287715653738
1024,1024,blackhole,unicast,l1,all_to_all,riscv_0,26624,2x2,2x2,4,4194304,55674.0,75.33685382763947
2048,1024,blackhole,unicast,l1,all_to_all,riscv_0,27648,2x2,2x2,4,8388608,85358.0,98.27559221162633
4096,1024,blackhole,unicast,l1,all_to_all,riscv_0,28672,2x2,2x2,4,16777216,175532.0,95.57924481006312
8192,1024,blackhole,unicast,l1,all_to_all,riscv_0,29696,2x2,2x2,4,33554432,384523.0,87.26248364857238
