Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,riscv_1,62464,5189.5,1.3565875411071042
128,110,blackhole,riscv_1,63488,6835.0,2.0599857662751138
256,110,blackhole,riscv_1,64512,16938.5,1.662490621246342
512,110,blackhole,riscv_1,65536,39280.0,1.4338097583238665
1024,110,blackhole,riscv_1,66560,57207.0,1.9689901554908844
2048,110,blackhole,riscv_1,67584,114904.5,1.960589390827482
4096,110,blackhole,riscv_1,68608,268175.0,1.680096954981447
8192,110,blackhole,riscv_1,69632,628307.0,1.4342037485545855
16384,110,blackhole,riscv_1,70656,1234676.0,1.4596866771730093
32768,110,blackhole,riscv_1,71680,2973231.0,1.2123670589450648
65536,110,blackhole,riscv_1,72704,5889645.5,1.2240113570658273
64,440,blackhole,riscv_1,73728,30399.0,0.9263551189606873
128,440,blackhole,riscv_1,74752,49383.0,1.140474389290019
256,440,blackhole,riscv_1,75776,95559.5,1.178760241399019
512,440,blackhole,riscv_1,76800,230009.5,0.9794383252455743
1024,440,blackhole,riscv_1,77824,354052.0,1.2726066125123976
2048,440,blackhole,riscv_1,78848,742808.0,1.2131388086197208
4096,440,blackhole,riscv_1,79872,1350114.5,1.3351348109143406
8192,440,blackhole,riscv_1,80896,2484629.0,1.450729337798475
16384,440,blackhole,riscv_1,81920,5750283.5,1.2536706195057234
32768,440,blackhole,riscv_1,82944,13869069.5,1.0395737204315196
65536,440,blackhole,riscv_1,83968,26766374.0,1.0776336905395607
64,1760,blackhole,riscv_1,84992,82900.0,1.3587462364760736
128,1760,blackhole,riscv_1,86016,209360.5,1.0760546669119946
256,1760,blackhole,riscv_1,87040,336538.0,1.338811108283534
512,1760,blackhole,riscv_1,88064,534484.0,1.6864680900032418
1024,1760,blackhole,riscv_1,89088,1078527.5,1.6716603473500313
2048,1760,blackhole,riscv_1,90112,2114909.5,1.704318821495332
4096,1760,blackhole,riscv_1,91136,4402346.0,1.6380526951770222
8192,1760,blackhole,riscv_1,92160,12617909.5,1.142660322726352
16384,1760,blackhole,riscv_1,93184,24322340.0,1.1855701921117063
32768,1760,blackhole,riscv_1,94208,40805589.0,1.413327970438079
65536,1760,blackhole,riscv_1,95232,65384974.5,1.7640652418456275
64,7040,blackhole,riscv_1,96256,307572.5,1.4648959199451044
128,7040,blackhole,riscv_1,97280,568058.0,1.5863248691245833
256,7040,blackhole,riscv_1,98304,1147322.5,1.5708233732812276
512,7040,blackhole,riscv_1,99328,2122079.0,1.6986661817913502
1024,7040,blackhole,riscv_1,100352,3528885.5,2.0428433549000413
2048,7040,blackhole,riscv_1,101376,7664893.5,1.8810369205158963
4096,7040,blackhole,riscv_1,102400,14543672.0,1.9827616674357178
8192,7040,blackhole,riscv_1,103424,33790603.0,1.7067496238431845
16384,7040,blackhole,riscv_1,104448,62070775.0,1.8583240400154994
32768,7040,blackhole,riscv_1,105472,114415431.0,2.016239979100489
65536,7040,blackhole,riscv_1,106496,201124943.5,2.293992100645429
64,28160,blackhole,riscv_1,107520,1234251.5,1.4601905395520762
128,28160,blackhole,riscv_1,108544,1978900.0,1.8214579002583124
256,28160,blackhole,riscv_1,109568,3559066.0,2.0255402875823396
512,28160,blackhole,riscv_1,110592,6070338.0,2.3753062562125944
1024,28160,blackhole,riscv_1,111616,12231491.5,2.3575497629713364
2048,28160,blackhole,riscv_1,112640,26485642.0,2.1774704859648737
4096,28160,blackhole,riscv_1,113664,52013207.0,2.21763358024146
8192,28160,blackhole,riscv_1,114688,102410858.0,2.2525741163356185
16384,28160,blackhole,riscv_1,115712,196513952.0,2.347834402326172
32768,28160,blackhole,riscv_1,116736,334200853.0,2.7611904422559936
65536,28160,blackhole,riscv_1,117760,656420511.0,2.811484721715869
