Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of subordinates,Pattern,Same axis,Mechanism,Stateful,NoC Index,Loopback,Memory type,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,L1,unicast,one_from_one,True,True,False,0,1,229.0,0.2794759825327511
128,1,blackhole,riscv_1,1024,L1,unicast,one_from_one,True,True,False,0,1,228.0,0.5614035087719298
256,1,blackhole,riscv_1,2048,L1,unicast,one_from_one,True,True,False,0,1,228.0,1.1228070175438596
512,1,blackhole,riscv_1,3072,L1,unicast,one_from_one,True,True,False,0,1,236.0,2.169491525423729
1024,1,blackhole,riscv_1,4096,L1,unicast,one_from_one,True,True,False,0,1,244.0,4.19672131147541
2048,1,blackhole,riscv_1,5120,L1,unicast,one_from_one,True,True,False,0,1,262.0,7.816793893129771
4096,1,blackhole,riscv_1,6144,L1,unicast,one_from_one,True,True,False,0,1,293.0,13.979522184300341
8192,1,blackhole,riscv_1,7168,L1,unicast,one_from_one,True,True,False,0,1,365.0,22.443835616438356
16384,1,blackhole,riscv_1,8192,L1,unicast,one_from_one,True,True,False,0,1,492.0,33.300813008130085
32768,1,blackhole,riscv_1,9216,L1,unicast,one_from_one,True,True,False,0,1,764.0,42.890052356020945
65536,1,blackhole,riscv_1,10240,L1,unicast,one_from_one,True,True,False,0,1,1310.0,50.027480916030534
64,4,blackhole,riscv_1,11264,L1,unicast,one_from_one,True,True,False,0,1,318.0,0.8050314465408805
128,4,blackhole,riscv_1,12288,L1,unicast,one_from_one,True,True,False,0,1,321.0,1.5950155763239875
256,4,blackhole,riscv_1,13312,L1,unicast,one_from_one,True,True,False,0,1,318.0,3.220125786163522
512,4,blackhole,riscv_1,14336,L1,unicast,one_from_one,True,True,False,0,1,327.0,6.2629969418960245
1024,4,blackhole,riscv_1,15360,L1,unicast,one_from_one,True,True,False,0,1,335.0,12.226865671641791
2048,4,blackhole,riscv_1,16384,L1,unicast,one_from_one,True,True,False,0,1,369.0,22.200542005420054
4096,4,blackhole,riscv_1,17408,L1,unicast,one_from_one,True,True,False,0,1,495.0,33.0989898989899
8192,4,blackhole,riscv_1,18432,L1,unicast,one_from_one,True,True,False,0,1,766.0,42.778067885117494
16384,4,blackhole,riscv_1,19456,L1,unicast,one_from_one,True,True,False,0,1,1318.0,49.72382397572079
32768,4,blackhole,riscv_1,20480,L1,unicast,one_from_one,True,True,False,0,1,2359.0,55.562526494277236
65536,4,blackhole,riscv_1,21504,L1,unicast,one_from_one,True,True,False,0,1,4486.0,58.436023183236735
64,16,blackhole,riscv_1,22528,L1,unicast,one_from_one,True,True,False,0,1,727.0,1.4085281980742779
128,16,blackhole,riscv_1,23552,L1,unicast,one_from_one,True,True,False,0,1,726.0,2.8209366391184574
256,16,blackhole,riscv_1,24576,L1,unicast,one_from_one,True,True,False,0,1,735.0,5.572789115646258
512,16,blackhole,riscv_1,25600,L1,unicast,one_from_one,True,True,False,0,1,735.0,11.145578231292516
1024,16,blackhole,riscv_1,26624,L1,unicast,one_from_one,True,True,False,0,1,743.0,22.05114401076716
2048,16,blackhole,riscv_1,27648,L1,unicast,one_from_one,True,True,False,0,1,784.0,41.795918367346935
4096,16,blackhole,riscv_1,28672,L1,unicast,one_from_one,True,True,False,0,1,1326.0,49.4238310708899
8192,16,blackhole,riscv_1,29696,L1,unicast,one_from_one,True,True,False,0,1,2374.0,55.21145745577085
16384,16,blackhole,riscv_1,30720,L1,unicast,one_from_one,True,True,False,0,1,4527.0,57.90678153302408
32768,16,blackhole,riscv_1,31744,L1,unicast,one_from_one,True,True,False,0,1,8753.0,59.8980920827145
65536,16,blackhole,riscv_1,32768,L1,unicast,one_from_one,True,True,False,0,1,17297.0,60.62184193790831
64,64,blackhole,riscv_1,33792,L1,unicast,one_from_one,True,True,False,0,1,2360.0,1.735593220338983
128,64,blackhole,riscv_1,34816,L1,unicast,one_from_one,True,True,False,0,1,2359.0,3.4726579058923273
256,64,blackhole,riscv_1,35840,L1,unicast,one_from_one,True,True,False,0,1,2358.0,6.948261238337574
512,64,blackhole,riscv_1,36864,L1,unicast,one_from_one,True,True,False,0,1,2368.0,13.837837837837839
1024,64,blackhole,riscv_1,37888,L1,unicast,one_from_one,True,True,False,0,1,2375.0,27.594105263157896
2048,64,blackhole,riscv_1,38912,L1,unicast,one_from_one,True,True,False,0,1,2462.0,53.23801787164906
4096,64,blackhole,riscv_1,39936,L1,unicast,one_from_one,True,True,False,0,1,4570.0,57.36192560175055
8192,64,blackhole,riscv_1,40960,L1,unicast,one_from_one,True,True,False,0,1,8759.0,59.857061308368536
16384,64,blackhole,riscv_1,41984,L1,unicast,one_from_one,True,True,False,0,1,17311.0,60.57281497313847
32768,64,blackhole,riscv_1,43008,L1,unicast,one_from_one,True,True,False,0,1,34345.0,61.06134808560198
65536,64,blackhole,riscv_1,44032,L1,unicast,one_from_one,True,True,False,0,1,68220.0,61.48202873057755
