Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Mechanism,Pattern,Number of subordinates,Same axis,Stateful,Loopback,NoC Index,Memory type,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,L1,unicast,one_to_one,True,True,False,0,0,217.0,0.29493087557603687
128,1,blackhole,riscv_0,1024,L1,unicast,one_to_one,True,True,False,0,0,217.0,0.5898617511520737
256,1,blackhole,riscv_0,2048,L1,unicast,one_to_one,True,True,False,0,0,219.0,1.1689497716894977
512,1,blackhole,riscv_0,3072,L1,unicast,one_to_one,True,True,False,0,0,225.0,2.2755555555555556
1024,1,blackhole,riscv_0,4096,L1,unicast,one_to_one,True,True,False,0,0,233.0,4.394849785407725
2048,1,blackhole,riscv_0,5120,L1,unicast,one_to_one,True,True,False,0,0,259.0,7.9073359073359075
4096,1,blackhole,riscv_0,6144,L1,unicast,one_to_one,True,True,False,0,0,289.0,14.173010380622838
8192,1,blackhole,riscv_0,7168,L1,unicast,one_to_one,True,True,False,0,0,361.0,22.69252077562327
16384,1,blackhole,riscv_0,8192,L1,unicast,one_to_one,True,True,False,0,0,489.0,33.50511247443763
32768,1,blackhole,riscv_0,9216,L1,unicast,one_to_one,True,True,False,0,0,752.0,43.57446808510638
65536,1,blackhole,riscv_0,10240,L1,unicast,one_to_one,True,True,False,0,0,1291.0,50.76374903175833
64,4,blackhole,riscv_0,11264,L1,unicast,one_to_one,True,True,False,0,0,279.0,0.9175627240143369
128,4,blackhole,riscv_0,12288,L1,unicast,one_to_one,True,True,False,0,0,279.0,1.8351254480286738
256,4,blackhole,riscv_0,13312,L1,unicast,one_to_one,True,True,False,0,0,287.0,3.56794425087108
512,4,blackhole,riscv_0,14336,L1,unicast,one_to_one,True,True,False,0,0,289.0,7.086505190311419
1024,4,blackhole,riscv_0,15360,L1,unicast,one_to_one,True,True,False,0,0,295.0,13.884745762711864
2048,4,blackhole,riscv_0,16384,L1,unicast,one_to_one,True,True,False,0,0,350.0,23.405714285714286
4096,4,blackhole,riscv_0,17408,L1,unicast,one_to_one,True,True,False,0,0,495.0,33.0989898989899
8192,4,blackhole,riscv_0,18432,L1,unicast,one_to_one,True,True,False,0,0,749.0,43.748998664886514
16384,4,blackhole,riscv_0,19456,L1,unicast,one_to_one,True,True,False,0,0,1318.0,49.72382397572079
32768,4,blackhole,riscv_0,20480,L1,unicast,one_to_one,True,True,False,0,0,2360.0,55.538983050847456
65536,4,blackhole,riscv_0,21504,L1,unicast,one_to_one,True,True,False,0,0,4466.0,58.69771607702642
64,16,blackhole,riscv_0,22528,L1,unicast,one_to_one,True,True,False,0,0,519.0,1.9730250481695568
128,16,blackhole,riscv_0,23552,L1,unicast,one_to_one,True,True,False,0,0,519.0,3.9460500963391136
256,16,blackhole,riscv_0,24576,L1,unicast,one_to_one,True,True,False,0,0,527.0,7.772296015180266
512,16,blackhole,riscv_0,25600,L1,unicast,one_to_one,True,True,False,0,0,529.0,15.485822306238186
1024,16,blackhole,riscv_0,26624,L1,unicast,one_to_one,True,True,False,0,0,536.0,30.567164179104477
2048,16,blackhole,riscv_0,27648,L1,unicast,one_to_one,True,True,False,0,0,760.0,43.11578947368421
4096,16,blackhole,riscv_0,28672,L1,unicast,one_to_one,True,True,False,0,0,1311.0,49.98932112890923
8192,16,blackhole,riscv_0,29696,L1,unicast,one_to_one,True,True,False,0,0,2363.0,55.46847228099873
16384,16,blackhole,riscv_0,30720,L1,unicast,one_to_one,True,True,False,0,0,4464.0,58.72401433691756
32768,16,blackhole,riscv_0,31744,L1,unicast,one_to_one,True,True,False,0,0,8655.0,60.57631426920855
65536,16,blackhole,riscv_0,32768,L1,unicast,one_to_one,True,True,False,0,0,17061.0,61.46040677568724
64,64,blackhole,riscv_0,33792,L1,unicast,one_to_one,True,True,False,0,0,1492.0,2.745308310991957
128,64,blackhole,riscv_0,34816,L1,unicast,one_to_one,True,True,False,0,0,1480.0,5.535135135135135
256,64,blackhole,riscv_0,35840,L1,unicast,one_to_one,True,True,False,0,0,1489.0,11.003357958361317
512,64,blackhole,riscv_0,36864,L1,unicast,one_to_one,True,True,False,0,0,1490.0,21.99194630872483
1024,64,blackhole,riscv_0,37888,L1,unicast,one_to_one,True,True,False,0,0,1497.0,43.778223112892455
2048,64,blackhole,riscv_0,38912,L1,unicast,one_to_one,True,True,False,0,0,2406.0,54.477140482128014
4096,64,blackhole,riscv_0,39936,L1,unicast,one_to_one,True,True,False,0,0,4503.0,58.215411947590496
8192,64,blackhole,riscv_0,40960,L1,unicast,one_to_one,True,True,False,0,0,8722.0,60.11098371933043
16384,64,blackhole,riscv_0,41984,L1,unicast,one_to_one,True,True,False,0,0,17073.0,61.417208457798864
32768,64,blackhole,riscv_0,43008,L1,unicast,one_to_one,True,True,False,0,0,34037.0,61.613890765931195
65536,64,blackhole,riscv_0,44032,L1,unicast,one_to_one,True,True,False,0,0,67681.0,61.97166117521904
64,256,blackhole,riscv_0,45056,L1,unicast,one_to_one,True,True,False,0,0,5324.0,3.0773854244928627
128,256,blackhole,riscv_0,46080,L1,unicast,one_to_one,True,True,False,0,0,5323.0,6.155927108773248
256,256,blackhole,riscv_0,47104,L1,unicast,one_to_one,True,True,False,0,0,5328.0,12.3003003003003
512,256,blackhole,riscv_0,48128,L1,unicast,one_to_one,True,True,False,0,0,5330.0,24.591369606003752
1024,256,blackhole,riscv_0,49152,L1,unicast,one_to_one,True,True,False,0,0,5335.0,49.13664479850047
2048,256,blackhole,riscv_0,50176,L1,unicast,one_to_one,True,True,False,0,0,8860.0,59.17471783295711
4096,256,blackhole,riscv_0,51200,L1,unicast,one_to_one,True,True,False,0,0,17271.0,60.71310288923629
8192,256,blackhole,riscv_0,52224,L1,unicast,one_to_one,True,True,False,0,0,34060.0,61.57228420434527
16384,256,blackhole,riscv_0,53248,L1,unicast,one_to_one,True,True,False,0,0,67631.0,62.01747719241176
32768,256,blackhole,riscv_0,54272,L1,unicast,one_to_one,True,True,False,0,0,135030.0,62.124031696660005
65536,256,blackhole,riscv_0,55296,L1,unicast,one_to_one,True,True,False,0,0,271353.0,61.828010009102535
64,1,blackhole,riscv_0,56320,L1,unicast,one_to_one,True,False,False,0,0,209.0,0.3062200956937799
128,1,blackhole,riscv_0,57344,L1,unicast,one_to_one,True,False,False,0,0,209.0,0.6124401913875598
256,1,blackhole,riscv_0,58368,L1,unicast,one_to_one,True,False,False,0,0,217.0,1.1797235023041475
512,1,blackhole,riscv_0,59392,L1,unicast,one_to_one,True,False,False,0,0,219.0,2.3378995433789953
1024,1,blackhole,riscv_0,60416,L1,unicast,one_to_one,True,False,False,0,0,224.0,4.571428571428571
2048,1,blackhole,riscv_0,61440,L1,unicast,one_to_one,True,False,False,0,0,251.0,8.159362549800797
4096,1,blackhole,riscv_0,62464,L1,unicast,one_to_one,True,False,False,0,0,275.0,14.894545454545455
8192,1,blackhole,riscv_0,63488,L1,unicast,one_to_one,True,False,False,0,0,344.0,23.813953488372093
