Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,unicast,l1,one_from_all,riscv_1,0,3431.0,2.0518799183911396
128,110,blackhole,unicast,l1,one_from_all,riscv_1,1024,3431.0,4.103759836782279
256,110,blackhole,unicast,l1,one_from_all,riscv_1,2048,3433.0,8.202738129915526
512,110,blackhole,unicast,l1,one_from_all,riscv_1,3072,3441.0,16.367335077012495
1024,110,blackhole,unicast,l1,one_from_all,riscv_1,4096,3447.0,32.677690745575866
2048,110,blackhole,unicast,l1,one_from_all,riscv_1,5120,4024.0,55.984095427435385
4096,110,blackhole,unicast,l1,one_from_all,riscv_1,6144,7489.0,60.16290559487248
8192,110,blackhole,unicast,l1,one_from_all,riscv_1,7168,14623.0,61.62346987622239
16384,110,blackhole,unicast,l1,one_from_all,riscv_1,8192,29694.0,60.69374284367212
32768,110,blackhole,unicast,l1,one_from_all,riscv_1,9216,58254.0,61.87523603529371
65536,110,blackhole,unicast,l1,one_from_all,riscv_1,10240,116688.0,61.77978883861237
64,440,blackhole,unicast,l1,one_from_all,riscv_1,11264,14533.0,1.9376591206220326
128,440,blackhole,unicast,l1,one_from_all,riscv_1,12288,14532.0,3.8755849160473437
256,440,blackhole,unicast,l1,one_from_all,riscv_1,13312,14542.0,7.745839636913767
512,440,blackhole,unicast,l1,one_from_all,riscv_1,14336,14542.0,15.491679273827534
1024,440,blackhole,unicast,l1,one_from_all,riscv_1,15360,14550.0,30.966323024054983
2048,440,blackhole,unicast,l1,one_from_all,riscv_1,16384,15295.0,58.91598561621445
4096,440,blackhole,unicast,l1,one_from_all,riscv_1,17408,29221.0,61.67619177988433
8192,440,blackhole,unicast,l1,one_from_all,riscv_1,18432,58007.0,62.13870739738307
16384,440,blackhole,unicast,l1,one_from_all,riscv_1,19456,116044.0,62.12264313536245
32768,440,blackhole,unicast,l1,one_from_all,riscv_1,20480,235053.0,61.33901715783249
65536,440,blackhole,unicast,l1,one_from_all,riscv_1,21504,468975.0,61.486944933098776
64,1760,blackhole,unicast,l1,one_from_all,riscv_1,22528,60733.0,1.854675382411539
128,1760,blackhole,unicast,l1,one_from_all,riscv_1,23552,60741.0,3.7088622182710194
256,1760,blackhole,unicast,l1,one_from_all,riscv_1,24576,60759.0,7.4155269178228735
512,1760,blackhole,unicast,l1,one_from_all,riscv_1,25600,60739.0,14.835937371375888
1024,1760,blackhole,unicast,l1,one_from_all,riscv_1,26624,60750.0,29.66650205761317
2048,1760,blackhole,unicast,l1,one_from_all,riscv_1,27648,60766.0,59.31738143040516
4096,1760,blackhole,unicast,l1,one_from_all,riscv_1,28672,117922.0,61.13329149776971
8192,1760,blackhole,unicast,l1,one_from_all,riscv_1,29696,237905.0,60.60368634538997
16384,1760,blackhole,unicast,l1,one_from_all,riscv_1,30720,468354.0,61.5684717115686
32768,1760,blackhole,unicast,l1,one_from_all,riscv_1,31744,935187.0,61.66860745497959
65536,1760,blackhole,unicast,l1,one_from_all,riscv_1,32768,1858950.0,62.04758600285107
64,7040,blackhole,unicast,l1,one_from_all,riscv_1,33792,245532.0,1.835035759086392
128,7040,blackhole,unicast,l1,one_from_all,riscv_1,34816,245534.0,3.6700416235633355
256,7040,blackhole,unicast,l1,one_from_all,riscv_1,35840,245540.0,7.339903885314002
512,7040,blackhole,unicast,l1,one_from_all,riscv_1,36864,245541.0,14.679747985061558
1024,7040,blackhole,unicast,l1,one_from_all,riscv_1,37888,245548.0,29.358658999462428
2048,7040,blackhole,unicast,l1,one_from_all,riscv_1,38912,245564.0,58.713492205697904
4096,7040,blackhole,unicast,l1,one_from_all,riscv_1,39936,468381.0,61.56492257371669
8192,7040,blackhole,unicast,l1,one_from_all,riscv_1,40960,931823.0,61.89123900139833
16384,7040,blackhole,unicast,l1,one_from_all,riscv_1,41984,1861375.0,61.96675038613928
32768,7040,blackhole,unicast,l1,one_from_all,riscv_1,43008,3718059.0,62.04493258444796
65536,7040,blackhole,unicast,l1,one_from_all,riscv_1,44032,7439474.0,62.0169436710176
64,28160,blackhole,unicast,l1,one_from_all,riscv_1,45056,984735.0,1.8301776620105916
128,28160,blackhole,unicast,l1,one_from_all,riscv_1,46080,984733.0,3.660362758229896
256,28160,blackhole,unicast,l1,one_from_all,riscv_1,47104,984740.0,7.320673477263034
512,28160,blackhole,unicast,l1,one_from_all,riscv_1,48128,984740.0,14.641346954526067
1024,28160,blackhole,unicast,l1,one_from_all,riscv_1,49152,984749.0,29.28242628324578
2048,28160,blackhole,unicast,l1,one_from_all,riscv_1,50176,984765.0,58.563901032225964
4096,28160,blackhole,unicast,l1,one_from_all,riscv_1,51200,1878487.0,61.40226682431127
8192,28160,blackhole,unicast,l1,one_from_all,riscv_1,52224,3719125.0,62.027148858938595
16384,28160,blackhole,unicast,l1,one_from_all,riscv_1,53248,7446353.0,61.95965192625168
32768,28160,blackhole,unicast,l1,one_from_all,riscv_1,54272,14899352.0,61.93201422451124
65536,28160,blackhole,unicast,l1,one_from_all,riscv_1,55296,29843554.0,61.83894049616209
