Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,112640,779.0,0.0821566110397946
128,1,blackhole,riscv_0,113664,781.0,0.16389244558258642
256,1,blackhole,riscv_0,114688,779.0,0.3286264441591784
512,1,blackhole,riscv_0,115712,788.0,0.649746192893401
1024,1,blackhole,riscv_0,116736,796.0,1.2864321608040201
2048,1,blackhole,riscv_0,117760,812.0,2.522167487684729
4096,1,blackhole,riscv_0,118784,843.0,4.858837485172005
8192,1,blackhole,riscv_0,119808,916.0,8.943231441048034
16384,1,blackhole,riscv_0,120832,1067.0,15.355201499531397
32768,1,blackhole,riscv_0,121856,1720.0,19.051162790697674
65536,1,blackhole,riscv_0,122880,3005.0,21.808985024958403
64,4,blackhole,riscv_0,123904,1049.0,0.2440419447092469
128,4,blackhole,riscv_0,124928,1049.0,0.4880838894184938
256,4,blackhole,riscv_0,125952,1048.0,0.9770992366412213
512,4,blackhole,riscv_0,126976,1054.0,1.9430740037950665
1024,4,blackhole,riscv_0,128000,1063.0,3.8532455315145815
2048,4,blackhole,riscv_0,129024,1090.0,7.51559633027523
4096,4,blackhole,riscv_0,130048,1179.0,13.896522476675148
8192,4,blackhole,riscv_0,131072,1556.0,21.05912596401028
16384,4,blackhole,riscv_0,132096,2204.0,29.73502722323049
32768,4,blackhole,riscv_0,133120,4051.0,32.35546778573192
65536,4,blackhole,riscv_0,134144,7712.0,33.99170124481328
64,16,blackhole,riscv_0,135168,2322.0,0.4409991386735573
128,16,blackhole,riscv_0,136192,2333.0,0.8778396913844835
256,16,blackhole,riscv_0,137216,2359.0,1.7363289529461636
512,16,blackhole,riscv_0,138240,2378.0,3.444911690496215
1024,16,blackhole,riscv_0,139264,2472.0,6.627831715210356
2048,16,blackhole,riscv_0,140288,2713.0,12.07814227792112
4096,16,blackhole,riscv_0,141312,3241.0,20.2209194692996
8192,16,blackhole,riscv_0,142336,4447.0,29.47425230492467
16384,16,blackhole,riscv_0,143360,6934.0,37.80559561580617
32768,16,blackhole,riscv_0,144384,13492.0,38.85917580788615
65536,16,blackhole,riscv_0,145408,26603.0,39.41570499567718
64,64,blackhole,riscv_0,146432,7707.0,0.5314649020371092
128,64,blackhole,riscv_0,147456,7769.0,1.0544471617968851
256,64,blackhole,riscv_0,148480,7877.0,2.0799796876983625
512,64,blackhole,riscv_0,149504,8101.0,4.044932724355018
1024,64,blackhole,riscv_0,150528,8573.0,7.6444651813834135
2048,64,blackhole,riscv_0,151552,9578.0,13.684694090624347
4096,64,blackhole,riscv_0,152576,11644.0,22.51322569563724
8192,64,blackhole,riscv_0,153600,15946.0,32.87896651197793
16384,64,blackhole,riscv_0,154624,25776.0,40.68032278088144
32768,64,blackhole,riscv_0,155648,51139.0,41.00885820997673
65536,64,blackhole,riscv_0,156672,101870.0,41.17310297437911
64,256,blackhole,riscv_0,157696,29229.0,0.5605391905299532
128,256,blackhole,riscv_0,158720,29512.0,1.1103280021686093
256,256,blackhole,riscv_0,159744,29989.0,2.185334622694988
512,256,blackhole,riscv_0,160768,30952.0,4.234685965365728
1024,256,blackhole,riscv_0,161792,32963.0,7.952674210478415
2048,256,blackhole,riscv_0,162816,37042.0,14.153879380163058
4096,256,blackhole,riscv_0,163840,45249.0,23.17346239695905
8192,256,blackhole,riscv_0,164864,61920.0,33.868733850129196
16384,256,blackhole,riscv_0,165888,101281.0,41.41254529477395
32768,256,blackhole,riscv_0,166912,202071.0,41.513171113123605
65536,256,blackhole,riscv_0,167936,404047.0,41.52293173813938
64,1,blackhole,riscv_0,168960,779.0,0.0821566110397946
128,1,blackhole,riscv_0,169984,780.0,0.1641025641025641
256,1,blackhole,riscv_0,171008,779.0,0.3286264441591784
512,1,blackhole,riscv_0,172032,787.0,0.650571791613723
1024,1,blackhole,riscv_0,173056,796.0,1.2864321608040201
2048,1,blackhole,riscv_0,174080,814.0,2.515970515970516
4096,1,blackhole,riscv_0,175104,848.0,4.830188679245283
8192,1,blackhole,riscv_0,176128,924.0,8.865800865800866
16384,1,blackhole,riscv_0,177152,1053.0,15.559354226020893
32768,1,blackhole,riscv_0,178176,2078.0,15.76900866217517
65536,1,blackhole,riscv_0,179200,3381.0,19.383614315291332
64,4,blackhole,riscv_0,180224,1042.0,0.2456813819577735
128,4,blackhole,riscv_0,181248,1049.0,0.4880838894184938
256,4,blackhole,riscv_0,182272,1060.0,0.9660377358490566
512,4,blackhole,riscv_0,183296,1064.0,1.9248120300751879
1024,4,blackhole,riscv_0,184320,1063.0,3.8532455315145815
2048,4,blackhole,riscv_0,185344,1089.0,7.522497704315886
4096,4,blackhole,riscv_0,186368,1185.0,13.826160337552743
8192,4,blackhole,riscv_0,187392,1547.0,21.18164188752424
16384,4,blackhole,riscv_0,188416,2130.0,30.76807511737089
32768,4,blackhole,riscv_0,189440,3884.0,33.74665293511843
65536,4,blackhole,riscv_0,190464,7323.0,35.79735081250853
64,16,blackhole,riscv_0,191488,2310.0,0.4432900432900433
128,16,blackhole,riscv_0,192512,2318.0,0.8835202761000863
256,16,blackhole,riscv_0,193536,2316.0,1.768566493955095
512,16,blackhole,riscv_0,194560,2315.0,3.5386609071274298
1024,16,blackhole,riscv_0,195584,2333.0,7.022717531075868
2048,16,blackhole,riscv_0,196608,2529.0,12.95689996045868
4096,16,blackhole,riscv_0,197632,3127.0,20.95810681164055
8192,16,blackhole,riscv_0,198656,4278.0,30.638616175783078
16384,16,blackhole,riscv_0,199680,6469.0,40.52311021796259
32768,16,blackhole,riscv_0,200704,12555.0,41.75929908403027
65536,16,blackhole,riscv_0,201728,24618.0,42.59387440084491
64,64,blackhole,riscv_0,202752,7546.0,0.5428041346408693
128,64,blackhole,riscv_0,203776,7543.0,1.086040037120509
256,64,blackhole,riscv_0,204800,7549.0,2.1703536892303616
512,64,blackhole,riscv_0,205824,7551.0,4.339557674480202
1024,64,blackhole,riscv_0,206848,7682.0,8.53111168966415
2048,64,blackhole,riscv_0,207872,8480.0,15.456603773584906
4096,64,blackhole,riscv_0,208896,10531.0,24.892602791757668
8192,64,blackhole,riscv_0,209920,15187.0,34.52215710805294
16384,64,blackhole,riscv_0,210944,23741.0,44.167305505244094
32768,64,blackhole,riscv_0,211968,47125.0,44.50189920424403
65536,64,blackhole,riscv_0,212992,93985.0,44.627376709049315
64,256,blackhole,riscv_0,214016,28470.0,0.5754829645240604
128,256,blackhole,riscv_0,215040,28474.0,1.150804242466812
256,256,blackhole,riscv_0,216064,28472.0,2.3017701601573477
512,256,blackhole,riscv_0,217088,28476.0,4.602893664840567
1024,256,blackhole,riscv_0,218112,29233.0,8.967399856326754
2048,256,blackhole,riscv_0,219136,32414.0,16.174739310174616
4096,256,blackhole,riscv_0,220160,40219.0,26.07165767423357
8192,256,blackhole,riscv_0,221184,58789.0,35.67252377145385
16384,256,blackhole,riscv_0,222208,93021.0,45.08986142913966
32768,256,blackhole,riscv_0,223232,185477.0,45.22721415593308
65536,256,blackhole,riscv_0,224256,370948.0,45.227945695892686
