Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,0,2x2,2x2,4,128,580.0,0.2206896551724138
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,1024,2x2,2x2,4,256,597.0,0.4288107202680067
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,2048,2x2,2x2,4,512,534.0,0.9588014981273408
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,3072,2x2,2x2,4,1024,595.0,1.7210084033613446
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,4096,2x2,2x2,4,2048,594.0,3.4478114478114477
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,5120,2x2,2x2,4,4096,580.0,7.062068965517241
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,6144,2x2,2x2,4,8192,704.0,11.636363636363637
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,7168,2x2,2x2,4,16384,1165.0,14.06351931330472
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,8192,2x2,2x2,4,32768,2061.0,15.899078117418728
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,9216,2x2,2x2,4,65536,3971.0,16.503651473180557
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,10240,2x2,2x2,4,131072,7915.0,16.559949463044852
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,11264,2x2,2x2,4,262144,17190.0,15.249796393251891
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,12288,2x2,2x2,4,2048,2309.0,0.8869640537029017
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,13312,2x2,2x2,4,4096,2315.0,1.7693304535637149
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,14336,2x2,2x2,4,8192,2324.0,3.5249569707401034
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,15360,2x2,2x2,4,16384,2379.0,6.886927280369903
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,16384,2x2,2x2,4,32768,3085.0,10.621717990275526
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,17408,2x2,2x2,4,65536,4931.0,13.290610423849119
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,18432,2x2,2x2,4,131072,9114.0,14.381391266183893
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,19456,2x2,2x2,4,262144,17817.0,14.71313913677948
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,20480,2x2,2x2,4,524288,36594.0,14.327157457506695
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,21504,2x2,2x2,4,1048576,79760.0,13.146639919759277
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,22528,2x2,2x2,4,2097152,174179.0,12.040211506553604
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,23552,2x2,2x2,4,4194304,357465.0,11.733467612213783
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,24576,2x2,2x2,4,32768,36872.0,0.8886960295074854
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,25600,2x2,2x2,4,65536,36890.0,1.776524803469775
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,26624,2x2,2x2,4,131072,36782.0,3.563482138002284
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,27648,2x2,2x2,4,262144,37786.0,6.937595935002382
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,28672,2x2,2x2,4,524288,53076.0,9.878061647448941
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,29696,2x2,2x2,4,1048576,97540.0,10.750215296288703
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,30720,2x2,2x2,4,2097152,191173.0,10.969917300037139
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,31744,2x2,2x2,4,4194304,381732.0,10.987561954460197
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,32768,2x2,2x2,4,8388608,777105.0,10.79469055018305
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,33792,2x2,2x2,4,16777216,1588496.0,10.56169861302767
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,34816,2x2,2x2,4,33554432,3191007.0,10.515311310818184
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,35840,2x2,2x2,4,67108864,6437288.0,10.425021220116298
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,36864,4x4,4x4,16,512,1201.0,0.42631140716069943
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,37888,4x4,4x4,16,1024,1078.0,0.9499072356215214
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,38912,4x4,4x4,16,2048,1053.0,1.9449192782526117
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,39936,4x4,4x4,16,4096,1107.0,3.7000903342366755
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,40960,4x4,4x4,16,8192,1329.0,6.164033107599699
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,41984,4x4,4x4,16,16384,2210.0,7.4135746606334845
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,43008,4x4,4x4,16,32768,3884.0,8.436663233779608
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,44032,4x4,4x4,16,65536,7139.0,9.179997198487182
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,45056,4x4,4x4,16,131072,15282.0,8.57688784190551
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,46080,4x4,4x4,16,262144,32965.0,7.952191718489307
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,47104,4x4,4x4,16,524288,73347.0,7.148049681650238
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,48128,4x4,4x4,16,1048576,221541.0,4.733101322102907
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,49152,4x4,4x4,16,8192,10320.0,0.7937984496124031
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,50176,4x4,4x4,16,16384,10350.0,1.5829951690821256
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,51200,4x4,4x4,16,32768,10565.0,3.101561760530052
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,52224,4x4,4x4,16,65536,12722.0,5.151391290677567
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,53248,4x4,4x4,16,131072,24019.0,5.457013197885008
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,54272,4x4,4x4,16,262144,44040.0,5.952406902815622
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,55296,4x4,4x4,16,524288,121865.0,4.302203257703196
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,56320,4x4,4x4,16,1048576,238175.0,4.4025443476435395
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,57344,4x4,4x4,16,2097152,556180.0,3.7706354058038762
