Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,1024,3113.5,0.6577807854027489
64,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,2048,3216.0,1.27363233337059
128,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,3072,4039.0,2.0282249324486683
256,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,4096,11422.0,1.4344248382365206
512,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,5120,20942.0,1.5653624685133392
1024,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,6144,58009.0,1.1297557359528372
2048,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,7168,112410.0,1.1660174133692802
4096,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,8192,170172.5,1.5404626616134123
8192,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,9216,406307.0,1.2903766569647592
16384,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,10240,1026935.5,1.0211135044543391
32768,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,11264,2449927.0,0.8563999163837824
65536,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,12288,4078452.5,1.0284279976826805
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,13312,7815.5,1.0481744666316013
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,14336,14431.0,1.1353411201154415
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,15360,33963.0,0.9648240495047149
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,16384,72161.5,0.9081854896711602
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,17408,140811.0,0.9310283475734604
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,18432,271442.0,0.9659720227766053
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,19456,580642.0,0.9029784704081838
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,20480,1148096.0,0.9134710221923019
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,21504,2340028.5,0.8962080406370064
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,22528,3935544.5,1.0661927203473314
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,23552,8773077.0,0.9561982355833373
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,24576,14973423.0,1.120466311231413
32,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,25600,30978.0,1.057784216964551
64,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,26624,41303.5,1.5866970259311797
128,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,27648,76989.0,1.703370192853407
256,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,28672,207405.5,1.2639208516723657
512,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,29696,366140.5,1.4319314365636262
1024,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,30720,766948.0,1.367792958091289
2048,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,31744,1635159.0,1.2825407570691771
4096,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,32768,3925838.5,1.0688098836623743
8192,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,33792,8290543.0,1.011902070191369
16384,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,34816,14610340.5,1.1484186969818686
32768,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,35840,24137459.5,1.3901601481671282
65536,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,36864,42473491.5,1.5800250219343568
32,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,37888,128829.0,1.0174237607105354
64,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,38912,167183.0,1.5680126876890208
128,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,39936,384487.0,1.3636664248836676
256,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,40960,681083.0,1.5396044682504204
512,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,41984,1396377.5,1.501856996587986
1024,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,43008,2947770.0,1.4236414985327304
2048,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,44032,6349507.0,1.3217738201152809
4096,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,45056,11629424.0,1.4426798468681454
8192,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,46080,28541034.5,1.1756994563585192
16384,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,47104,38254500.5,1.7551446147362801
32768,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,48128,63717948.5,2.1064377033879733
65536,4096,wormhole_b0,unicast,l1,all_from_all,riscv_1,49152,110203523.5,2.4358545836117633
32,16384,wormhole_b0,unicast,l1,all_from_all,riscv_1,50176,603104.0,0.8693265212895994
64,16384,wormhole_b0,unicast,l1,all_from_all,riscv_1,51200,717272.5,1.4619425615102568
128,16384,wormhole_b0,unicast,l1,all_from_all,riscv_1,52224,1161969.5,1.8049061207813792
