Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,0,2x2,2x2,4,128,608.0,0.21052631578947367
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,1024,2x2,2x2,4,256,559.0,0.45796064400715564
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,2048,2x2,2x2,4,512,585.0,0.8752136752136752
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,3072,2x2,2x2,4,1024,603.0,1.6981757877280266
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,4096,2x2,2x2,4,2048,629.0,3.2559618441971385
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,5120,2x2,2x2,4,4096,650.0,6.3015384615384615
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,6144,2x2,2x2,4,8192,816.0,10.03921568627451
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,7168,2x2,2x2,4,16384,1298.0,12.622496147919877
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,8192,2x2,2x2,4,32768,2557.0,12.815017598748533
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,9216,2x2,2x2,4,65536,6000.0,10.922666666666666
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,10240,2x2,2x2,4,131072,10513.0,12.467611528583658
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,11264,2x2,2x2,4,262144,20740.0,12.63953712632594
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,12288,2x2,2x2,4,2048,2445.0,0.8376278118609407
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,13312,2x2,2x2,4,4096,2433.0,1.6835182901767365
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,14336,2x2,2x2,4,8192,2444.0,3.351882160392799
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,15360,2x2,2x2,4,16384,2803.0,5.845165893685337
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,16384,2x2,2x2,4,32768,3474.0,9.432354634427174
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,17408,2x2,2x2,4,65536,5128.0,12.78003120124805
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,18432,2x2,2x2,4,131072,10205.0,12.843900048995591
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,19456,2x2,2x2,4,262144,24527.0,10.687976515676601
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,20480,2x2,2x2,4,524288,43293.0,12.110225671586631
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,21504,2x2,2x2,4,1048576,84791.0,12.36659551131606
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,22528,2x2,2x2,4,2097152,171694.0,12.21447458851212
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,23552,2x2,2x2,4,4194304,340174.0,12.329878238783682
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,24576,2x2,2x2,4,32768,32232.0,1.0166294365847606
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,25600,2x2,2x2,4,65536,32224.0,2.0337636544190665
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,26624,2x2,2x2,4,131072,32220.0,4.068032278088144
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,27648,2x2,2x2,4,262144,39399.0,6.653569887560598
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,28672,2x2,2x2,4,524288,52094.0,10.064268437823934
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,29696,2x2,2x2,4,1048576,86905.0,12.065772970485012
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,30720,2x2,2x2,4,2097152,192726.0,10.88152091570416
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,31744,2x2,2x2,4,4194304,381696.0,10.98859825620389
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,32768,2x2,2x2,4,8388608,685577.0,12.235836383075862
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,33792,2x2,2x2,4,16777216,1371517.0,12.232597918946684
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,34816,2x2,2x2,4,33554432,2747861.0,12.211109659476953
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,35840,2x2,2x2,4,67108864,5486044.0,12.232651433346142
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,36864,4x4,4x4,16,512,1353.0,0.37841832963784183
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,37888,4x4,4x4,16,1024,1247.0,0.8211708099438653
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,38912,4x4,4x4,16,2048,1331.0,1.5386927122464313
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,39936,4x4,4x4,16,4096,1352.0,3.029585798816568
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,40960,4x4,4x4,16,8192,1757.0,4.6624928856004555
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,41984,4x4,4x4,16,16384,3118.0,5.254650416933932
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,43008,4x4,4x4,16,32768,6413.0,5.109621082176829
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,44032,4x4,4x4,16,65536,11931.0,5.492917609588467
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,45056,4x4,4x4,16,131072,24997.0,5.243509221106533
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,46080,4x4,4x4,16,262144,49874.0,5.256125436098969
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,47104,4x4,4x4,16,524288,102187.0,5.1306721990077016
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,48128,4x4,4x4,16,1048576,200595.0,5.22732869712605
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,49152,4x4,4x4,16,8192,10423.0,0.7859541398829512
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,50176,4x4,4x4,16,16384,10977.0,1.492575384895691
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,51200,4x4,4x4,16,32768,11852.0,2.7647654404319946
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,52224,4x4,4x4,16,65536,16546.0,3.960836455941013
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,53248,4x4,4x4,16,131072,27039.0,4.847516550168275
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,54272,4x4,4x4,16,262144,53053.0,4.941172035511658
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,55296,4x4,4x4,16,524288,101714.0,5.154531332953183
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,56320,4x4,4x4,16,1048576,208136.0,5.037936733674136
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,57344,4x4,4x4,16,2097152,420642.0,4.985598204649084
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,58368,4x4,4x4,16,4194304,822854.0,5.09726391316078
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,59392,4x4,4x4,16,8388608,1685597.0,4.9766391373501495
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,60416,4x4,4x4,16,16777216,3343444.0,5.017944371133478
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,61440,4x4,4x4,16,131072,156541.0,0.8373014098542874
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,62464,4x4,4x4,16,262144,166127.0,1.5779734781221595
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,63488,4x4,4x4,16,524288,183655.0,2.8547439492526747
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,64512,4x4,4x4,16,1048576,268256.0,3.908863175474174
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,65536,4x4,4x4,16,2097152,459537.0,4.563619469161352
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,66560,4x4,4x4,16,4194304,859948.0,4.8773925865284875
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,67584,4x4,4x4,16,8388608,1678271.0,4.998363196408685
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,68608,4x4,4x4,16,16777216,3334163.0,5.031912357014339
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,69632,4x4,4x4,16,33554432,6697139.0,5.010263636457299
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,70656,4x4,4x4,16,67108864,13381240.0,5.015145382640174
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,71680,4x4,4x4,16,134217728,26823431.0,5.003749445773734
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,72704,4x4,4x4,16,268435456,53396077.0,5.02725052254307
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,73728,8x8,8x8,64,2048,5054.0,0.40522358527898694
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,74752,8x8,8x8,64,4096,4843.0,0.8457567623373942
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,75776,8x8,8x8,64,8192,5938.0,1.3795890872347591
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,76800,8x8,8x8,64,16384,8277.0,1.9794611574241876
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,77824,8x8,8x8,64,32768,14396.0,2.2761878299527645
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,78848,8x8,8x8,64,65536,27780.0,2.3591072714182864
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,79872,8x8,8x8,64,131072,57677.0,2.272517641347504
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,80896,8x8,8x8,64,262144,115560.0,2.26846659743856
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,81920,8x8,8x8,64,524288,228401.0,2.2954715609826577
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,82944,8x8,8x8,64,1048576,451844.0,2.3206593426049698
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,83968,8x8,8x8,64,2097152,922960.0,2.2722024789806707
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,84992,8x8,8x8,64,4194304,1836351.0,2.284042647620199
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,86016,8x8,8x8,64,32768,49349.0,0.6640053496524753
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,87040,8x8,8x8,64,65536,59545.0,1.1006129817784869
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,88064,8x8,8x8,64,131072,83160.0,1.576142376142376
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,89088,8x8,8x8,64,262144,127188.0,2.0610749441771237
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,90112,8x8,8x8,64,524288,233991.0,2.2406331867464986
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,91136,8x8,8x8,64,1048576,446584.0,2.3479927628396897
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,92160,8x8,8x8,64,2097152,916954.0,2.287085284539901
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,93184,8x8,8x8,64,4194304,1844083.0,2.2744659540812426
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,94208,8x8,8x8,64,8388608,3698329.0,2.2682157266159932
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,95232,8x8,8x8,64,16777216,7463012.0,2.2480489110830857
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,96256,8x8,8x8,64,33554432,14702477.0,2.2822298582749014
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,97280,8x8,8x8,64,67108864,29519121.0,2.2734031951696663
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,98304,8x8,8x8,64,524288,767334.0,0.6832591804872454
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,99328,8x8,8x8,64,1048576,916449.0,1.1441727799364723
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,100352,8x8,8x8,64,2097152,1303914.0,1.6083514710325988
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,101376,8x8,8x8,64,4194304,2049182.0,2.0468186817959557
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,102400,8x8,8x8,64,8388608,3843033.0,2.1828092550857616
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,103424,8x8,8x8,64,16777216,7282398.0,2.3038037745259183
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,104448,8x8,8x8,64,33554432,14777159.0,2.270695740635937
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,105472,8x8,8x8,64,67108864,29697105.0,2.2597779817258283
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,106496,8x8,8x8,64,134217728,60030303.0,2.2358329259141003
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,107520,8x8,8x8,64,268435456,120494133.0,2.2277886011263304
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,108544,8x8,8x8,64,536870912,234276377.0,2.291613515945741
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,109568,8x8,8x8,64,1073741824,482827723.0,2.2238611679719145
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,110592,2x2,1x1,4,128,354.0,0.3615819209039548
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,111616,2x2,1x1,4,256,371.0,0.6900269541778976
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,112640,2x2,1x1,4,512,356.0,1.4382022471910112
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,113664,2x2,1x1,4,1024,363.0,2.8209366391184574
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,114688,2x2,1x1,4,2048,378.0,5.417989417989418
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,115712,2x2,1x1,4,4096,426.0,9.615023474178404
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,116736,2x2,1x1,4,8192,524.0,15.633587786259541
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,117760,2x2,1x1,4,16384,786.0,20.844783715012724
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,118784,2x2,1x1,4,32768,1288.0,25.440993788819874
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,119808,2x2,1x1,4,65536,2352.0,27.86394557823129
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,120832,2x2,1x1,4,131072,4406.0,29.748524738992284
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,121856,2x2,1x1,4,262144,8709.0,30.100355953611206
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,122880,2x2,1x1,4,2048,839.0,2.441001191895113
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,123904,2x2,1x1,4,4096,841.0,4.87039239001189
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,124928,2x2,1x1,4,8192,901.0,9.09211986681465
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,125952,2x2,1x1,4,16384,891.0,18.388327721661057
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,126976,2x2,1x1,4,32768,1418.0,23.108603667136812
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,128000,2x2,1x1,4,65536,2486.0,26.362027353177794
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,129024,2x2,1x1,4,131072,4576.0,28.643356643356643
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,130048,2x2,1x1,4,262144,8735.0,30.010761305094448
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,131072,2x2,1x1,4,524288,16970.0,30.894991160872127
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,132096,2x2,1x1,4,1048576,33772.0,31.048679379367524
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,133120,2x2,1x1,4,2097152,67458.0,31.088262326188147
