Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,64,wormhole_b0,riscv_1,67584,3159.5,0.648204235560185
64,64,wormhole_b0,riscv_1,68608,3207.5,1.2770070458403415
128,64,wormhole_b0,riscv_1,69632,4356.0,1.880626903882752
256,64,wormhole_b0,riscv_1,70656,12020.0,1.3630625074837193
512,64,wormhole_b0,riscv_1,71680,19151.0,1.711056226468187
1024,64,wormhole_b0,riscv_1,72704,61345.5,1.0683099757477978
2048,64,wormhole_b0,riscv_1,73728,113431.0,1.1555239068178125
4096,64,wormhole_b0,riscv_1,74752,214911.5,1.2197767741187118
8192,64,wormhole_b0,riscv_1,75776,420980.0,1.245399084982247
16384,64,wormhole_b0,riscv_1,76800,1007913.0,1.0403469392192424
32768,64,wormhole_b0,riscv_1,77824,2556767.0,0.8202630530704744
65536,64,wormhole_b0,riscv_1,78848,4365289.0,0.9610807796414218
32,256,wormhole_b0,riscv_1,79872,7810.0,1.0490572220244774
64,256,wormhole_b0,riscv_1,80896,14830.5,1.1047507084746222
128,256,wormhole_b0,riscv_1,81920,30725.0,1.066513369606958
256,256,wormhole_b0,riscv_1,82944,67174.0,0.9756199868498547
512,256,wormhole_b0,riscv_1,83968,143552.0,0.9131842391009228
1024,256,wormhole_b0,riscv_1,84992,303299.0,0.8643089189950355
2048,256,wormhole_b0,riscv_1,86016,610073.0,0.8594331073602739
4096,256,wormhole_b0,riscv_1,87040,1163873.5,0.900941879265202
8192,256,wormhole_b0,riscv_1,88064,2461260.0,0.8520648083230054
16384,256,wormhole_b0,riscv_1,89088,4293797.0,0.977009754719106
32768,256,wormhole_b0,riscv_1,90112,7540612.0,1.112500298359449
65536,256,wormhole_b0,riscv_1,91136,13597237.0,1.233887267377662
32,1024,wormhole_b0,riscv_1,92160,30677.0,1.0681663200344764
64,1024,wormhole_b0,riscv_1,93184,44196.0,1.4829016385395453
128,1024,wormhole_b0,riscv_1,94208,72747.0,1.8019852826538463
256,1024,wormhole_b0,riscv_1,95232,175171.0,1.4965135133513265
512,1024,wormhole_b0,riscv_1,96256,410881.5,1.2762342814949854
1024,1024,wormhole_b0,riscv_1,97280,781069.0,1.3424883092953286
2048,1024,wormhole_b0,riscv_1,98304,1903995.5,1.1014693003102882
4096,1024,wormhole_b0,riscv_1,99328,3837632.0,1.094613067089173
8192,1024,wormhole_b0,riscv_1,100352,8766849.0,0.9568620928906799
16384,1024,wormhole_b0,riscv_1,101376,14998443.5,1.1185979066299434
32768,1024,wormhole_b0,riscv_1,102400,26385681.5,1.2718706463190657
65536,1024,wormhole_b0,riscv_1,103424,43664548.5,1.5369311221878803
32,4096,wormhole_b0,riscv_1,104448,127629.0,1.0270020501727108
64,4096,wormhole_b0,riscv_1,105472,175010.0,1.4978965162034164
128,4096,wormhole_b0,riscv_1,106496,341988.5,1.5333604101283265
256,4096,wormhole_b0,riscv_1,107520,623603.5,1.6815405614421761
512,4096,wormhole_b0,riscv_1,108544,1403833.0,1.4938828683385883
1024,4096,wormhole_b0,riscv_1,109568,2852281.0,1.47052856617908
2048,4096,wormhole_b0,riscv_1,110592,6046383.5,1.3873859112563045
4096,4096,wormhole_b0,riscv_1,111616,10477309.5,1.6012926531717904
8192,4096,wormhole_b0,riscv_1,112640,27691579.5,1.2127747690943527
16384,4096,wormhole_b0,riscv_1,113664,35534000.5,1.8886884601204526
32768,4096,wormhole_b0,riscv_1,114688,64940161.0,2.0668549202360937
65536,4096,wormhole_b0,riscv_1,115712,114799554.5,2.3384039851377123
32,16384,wormhole_b0,riscv_1,116736,622348.0,0.8424905001752291
64,16384,wormhole_b0,riscv_1,117760,696689.0,1.5051031209935313
128,16384,wormhole_b0,riscv_1,118784,1333319.5,1.5731351999747578
256,16384,wormhole_b0,riscv_1,119808,2234040.0,1.879118163413775
512,16384,wormhole_b0,riscv_1,120832,3883720.0,2.1607139736162226
1024,16384,wormhole_b0,riscv_1,121856,7586271.0,2.2115509291564726
2048,16384,wormhole_b0,riscv_1,122880,14260756.0,2.353132298706732
4096,16384,wormhole_b0,riscv_1,123904,29721868.5,2.2582179335762027
8192,16384,wormhole_b0,riscv_1,124928,63931067.0,2.0994600057201724
16384,16384,wormhole_b0,riscv_1,125952,105863289.5,2.5356959576691898
32768,16384,wormhole_b0,riscv_1,126976,225257854.5,2.3844586969032386
65536,16384,wormhole_b0,riscv_1,128000,467734914.5,2.2958859814736297
