Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
1,16,wormhole_b0,riscv_0,0,4283.5,0.0037353186433472674
2,16,wormhole_b0,riscv_0,1024,4207.0,0.007608242858385374
3,16,wormhole_b0,riscv_0,2048,4200.5,0.011430522938600907
4,16,wormhole_b0,riscv_0,3072,4200.5,0.01524082167277134
1,32,wormhole_b0,riscv_0,4096,8416.0,0.0038025914642755886
2,32,wormhole_b0,riscv_0,5120,8419.5,0.007602029103866634
3,32,wormhole_b0,riscv_0,6144,8414.0,0.011410720019874507
4,32,wormhole_b0,riscv_0,7168,8428.5,0.015187602039800727
1,64,wormhole_b0,riscv_0,8192,16876.0,0.003792424120310953
2,64,wormhole_b0,riscv_0,9216,16881.0,0.007582591472321076
3,64,wormhole_b0,riscv_0,10240,16877.5,0.01137627439722137
4,64,wormhole_b0,riscv_0,11264,16874.5,0.015171069873563437
1,16,wormhole_b0,riscv_0,12288,4220.5,0.00379130358231252
2,16,wormhole_b0,riscv_0,13312,4230.0,0.007565559801122359
3,16,wormhole_b0,riscv_0,14336,4234.5,0.011336086038604132
4,16,wormhole_b0,riscv_0,15360,4246.5,0.01507155294292235
1,32,wormhole_b0,riscv_0,16384,8434.0,0.0037942210895193134
2,32,wormhole_b0,riscv_0,17408,8442.0,0.007581250840158201
3,32,wormhole_b0,riscv_0,18432,8447.5,0.011364447558447323
4,32,wormhole_b0,riscv_0,19456,8428.0,0.015187942667059464
1,64,wormhole_b0,riscv_0,20480,16849.0,0.0037984604789687132
2,64,wormhole_b0,riscv_0,21504,16853.5,0.007594899202875819
3,64,wormhole_b0,riscv_0,22528,16862.5,0.011386234123129883
4,64,wormhole_b0,riscv_0,23552,16853.5,0.01518979444839167
