Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,0,113.0,0.2831858407079646
64,1,wormhole_b0,riscv_0,1024,114.0,0.5614035087719298
128,1,wormhole_b0,riscv_0,2048,112.0,1.1428571428571428
256,1,wormhole_b0,riscv_0,3072,130.0,1.9692307692307693
512,1,wormhole_b0,riscv_0,4096,136.0,3.764705882352941
1024,1,wormhole_b0,riscv_0,5120,156.0,6.564102564102564
2048,1,wormhole_b0,riscv_0,6144,185.0,11.07027027027027
4096,1,wormhole_b0,riscv_0,7168,256.0,16.0
8192,1,wormhole_b0,riscv_0,8192,385.0,21.277922077922078
16384,1,wormhole_b0,riscv_0,9216,639.0,25.640062597809077
32768,1,wormhole_b0,riscv_0,10240,1172.0,27.959044368600683
65536,1,wormhole_b0,riscv_0,11264,2244.0,29.204991087344027
32,4,wormhole_b0,riscv_0,12288,194.0,0.6597938144329897
64,4,wormhole_b0,riscv_0,13312,197.0,1.299492385786802
128,4,wormhole_b0,riscv_0,14336,204.0,2.5098039215686274
256,4,wormhole_b0,riscv_0,15360,212.0,4.830188679245283
512,4,wormhole_b0,riscv_0,16384,224.0,9.142857142857142
1024,4,wormhole_b0,riscv_0,17408,252.0,16.253968253968253
2048,4,wormhole_b0,riscv_0,18432,385.0,21.277922077922078
4096,4,wormhole_b0,riscv_0,19456,641.0,25.5600624024961
8192,4,wormhole_b0,riscv_0,20480,1169.0,28.030795551753634
16384,4,wormhole_b0,riscv_0,21504,2238.0,29.283288650580875
32768,4,wormhole_b0,riscv_0,22528,4354.0,30.1038125861277
65536,4,wormhole_b0,riscv_0,23552,8611.0,30.442921844152828
32,16,wormhole_b0,riscv_0,24576,515.0,0.9941747572815534
64,16,wormhole_b0,riscv_0,25600,516.0,1.9844961240310077
128,16,wormhole_b0,riscv_0,26624,524.0,3.9083969465648853
256,16,wormhole_b0,riscv_0,27648,547.0,7.4881170018281535
512,16,wormhole_b0,riscv_0,28672,556.0,14.733812949640289
1024,16,wormhole_b0,riscv_0,29696,667.0,24.563718140929534
2048,16,wormhole_b0,riscv_0,30720,1198.0,27.352253756260435
4096,16,wormhole_b0,riscv_0,31744,2278.0,28.769095697980685
8192,16,wormhole_b0,riscv_0,32768,4365.0,30.02794959908362
16384,16,wormhole_b0,riscv_0,33792,8608.0,30.45353159851301
32768,16,wormhole_b0,riscv_0,34816,17119.0,30.626087972428294
65536,16,wormhole_b0,riscv_0,35840,34158.0,30.69781603138357
32,64,wormhole_b0,riscv_0,36864,1811.0,1.1308669243511873
64,64,wormhole_b0,riscv_0,37888,1811.0,2.2617338487023746
128,64,wormhole_b0,riscv_0,38912,1823.0,4.4936917169500825
256,64,wormhole_b0,riscv_0,39936,1892.0,8.659619450317125
512,64,wormhole_b0,riscv_0,40960,1899.0,17.255397577672458
1024,64,wormhole_b0,riscv_0,41984,2327.0,28.163300386764075
2048,64,wormhole_b0,riscv_0,43008,4462.0,29.375168086060064
4096,64,wormhole_b0,riscv_0,44032,8742.0,29.9867307252345
8192,64,wormhole_b0,riscv_0,45056,17149.0,30.572511516706513
16384,64,wormhole_b0,riscv_0,46080,34166.0,30.690628109816778
32768,64,wormhole_b0,riscv_0,47104,68150.0,30.772589875275127
65536,64,wormhole_b0,riscv_0,48128,136192.0,30.796992481203006
32,256,wormhole_b0,riscv_0,49152,6999.0,1.170452921845978
64,256,wormhole_b0,riscv_0,50176,6998.0,2.3412403543869678
128,256,wormhole_b0,riscv_0,51200,7004.0,4.67846944603084
256,256,wormhole_b0,riscv_0,52224,7268.0,9.01706108970831
512,256,wormhole_b0,riscv_0,53248,7279.0,18.006869075422447
1024,256,wormhole_b0,riscv_0,54272,8964.0,29.24408746095493
2048,256,wormhole_b0,riscv_0,55296,17536.0,29.8978102189781
4096,256,wormhole_b0,riscv_0,56320,34665.0,30.248838886484926
8192,256,wormhole_b0,riscv_0,57344,68157.0,30.769429405636984
16384,256,wormhole_b0,riscv_0,58368,136192.0,30.796992481203006
32768,256,wormhole_b0,riscv_0,59392,272277.0,30.809095149425033
65536,256,wormhole_b0,riscv_0,60416,544460.0,30.81441428204092
