Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,0,1808.0,1.1327433628318584
64,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,1024,1816.0,2.2555066079295156
128,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,2048,1816.0,4.511013215859031
256,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,3072,1816.0,9.022026431718063
512,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,4096,1832.0,17.88646288209607
1024,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,5120,2352.0,27.86394557823129
2048,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,6144,4393.0,29.836558160710222
4096,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,7168,8504.0,30.825964252116652
8192,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,8192,16776.0,31.252265140677157
16384,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,9216,33483.0,31.316668159961772
32768,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,10240,67321.0,31.15152775508385
65536,64,wormhole_b0,unicast,l1,one_from_all,riscv_1,11264,134689.0,31.14065736622887
32,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,12288,5840.0,1.4027397260273973
64,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,13312,5840.0,2.8054794520547945
128,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,14336,5840.0,5.610958904109589
256,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,15360,5848.0,11.20656634746922
512,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,16384,5856.0,22.382513661202186
1024,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,17408,8768.0,29.8978102189781
2048,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,18432,17025.0,30.79518355359765
4096,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,19456,33808.0,31.01561760530052
8192,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,20480,67352.0,31.137189689986933
16384,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,21504,134186.0,31.257388997361872
32768,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,22528,269074.0,31.175840103465962
65536,256,wormhole_b0,unicast,l1,one_from_all,riscv_1,23552,533445.0,31.45069501073213
32,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,24576,19664.0,1.6663954434499593
64,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,25600,19667.0,3.332282503686378
128,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,26624,19664.0,6.665581773799837
256,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,27648,19672.0,13.325742171614477
512,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,28672,19696.0,26.61900893582453
1024,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,29696,34638.0,30.27241757607252
2048,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,30720,67582.0,31.03122133112367
4096,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,31744,135048.0,31.057875718263137
8192,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,32768,269072.0,31.176071832074687
16384,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,33792,534006.0,31.41765448328296
32768,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,34816,1080209.0,31.06290727072261
65536,1024,wormhole_b0,unicast,l1,one_from_all,riscv_1,35840,2153692.0,31.159917016917927
